,id,is_location_exact,room_type,bed_type,has_availability,binTempo,FAIXA_RATING,accommodates,price_per_accommodates,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,reviews_per_month,availability_30,availability_60,availability_90,availability_365,mean_availability,review_per_year,price
87,10210971,0,1,0,1,0,0,1,50.0,500.0,10.0,1,20.0,1,1125,0,94.53926206244087,2.078918834221247,28,58,88,363,134.0,22.0,50.0
88,3584790,1,0,0,1,0,0,6,16.5,200.0,50.0,4,0.0,5,15,0,94.53926206244087,2.078918834221247,0,0,0,2,0.0,22.0,99.0
89,1266459,1,0,0,1,1,0,2,75.0,200.0,60.0,2,50.0,2,1125,9,98.0,0.3,4,30,60,335,107.0,4.5,150.0
90,9098059,1,0,0,1,0,0,4,26.25,200.0,50.0,1,0.0,2,1125,0,94.53926206244087,2.078918834221247,17,17,17,17,17.0,22.0,105.0
91,408526,1,0,0,1,0,0,7,31.14,750.0,300.0,4,15.0,14,60,0,94.53926206244087,2.078918834221247,30,60,90,365,136.0,22.0,218.0
92,4118282,1,0,0,1,1,0,5,16.0,200.0,75.0,1,0.0,1,7,88,95.0,6.07,13,13,13,80,29.0,44.0,80.0
93,6813483,1,0,0,1,0,0,2,63.0,300.0,95.0,2,25.0,2,1125,10,98.0,1.75,28,28,28,275,89.0,22.0,126.0
94,6590264,1,0,0,1,0,0,4,28.75,500.0,50.0,2,50.0,1,1125,5,96.0,0.82,30,49,56,56,47.0,22.0,115.0
95,2650482,1,0,0,1,2,0,4,56.25,200.0,75.0,1,0.0,2,10,10,98.0,0.64,30,60,90,365,136.0,10.0,225.0
96,20927,1,0,1,1,0,0,2,44.5,200.0,10.0,2,0.0,2,14,244,97.0,3.64,10,40,70,341,115.0,48.8,89.0
97,4395578,0,0,0,1,0,0,8,28.13,200.0,264.0,1,0.0,3,1125,1,100.0,0.11,21,48,78,331,119.0,22.0,225.0
98,4995903,1,0,0,1,0,0,1,50.0,200.0,50.0,1,0.0,1,1125,0,94.53926206244087,2.078918834221247,1,31,60,60,38.0,22.0,50.0
99,5549211,1,0,0,1,2,0,4,33.5,200.0,100.0,1,0.0,3,45,40,98.0,4.05,5,28,52,295,95.0,40.0,134.0
100,8240758,1,0,0,1,0,1,2,37.5,200.0,100.0,1,0.0,3,1125,2,80.0,0.62,0,0,0,94,23.0,22.0,75.0
101,6856295,1,1,0,1,2,0,2,32.5,200.0,50.0,2,15.0,1,1125,46,97.0,6.87,29,59,89,364,135.0,46.0,65.0
102,6881188,1,0,0,1,0,0,6,62.5,300.0,100.0,1,0.0,1,1125,23,96.0,3.75,28,58,88,363,134.0,22.0,375.0
103,1579615,1,0,0,1,1,0,3,32.33,100.0,45.0,2,10.0,2,1125,44,98.0,1.55,21,47,77,340,121.0,22.0,97.0
104,3766866,1,0,0,1,2,0,2,72.5,150.0,45.0,2,25.0,2,35,14,97.0,0.82,29,59,88,88,66.0,14.0,145.0
105,2406966,1,0,0,1,2,0,5,25.8,250.0,75.0,1,0.0,5,1125,12,100.0,0.77,12,35,52,313,103.0,12.0,129.0
106,4872699,1,0,0,1,0,0,6,32.83,200.0,180.0,1,0.0,4,29,1,100.0,0.09,30,60,90,364,136.0,22.0,197.0
107,5470629,1,0,0,1,0,0,2,60.0,350.0,60.0,2,20.0,2,28,25,99.0,3.39,0,0,0,234,58.0,22.0,120.0
108,2950213,1,0,0,1,2,0,4,50.0,150.0,50.0,4,100.0,2,90,35,95.0,1.84,29,59,88,88,66.0,35.0,200.0
109,9015088,1,0,0,1,2,0,5,27.0,100.0,50.0,4,15.0,1,1125,5,100.0,3.95,19,19,19,266,80.0,5.0,135.0
110,3979496,1,1,1,1,2,0,2,35.0,250.0,50.0,2,0.0,1,1125,31,95.0,1.89,30,60,90,365,136.0,31.0,70.0
111,7501919,1,0,0,1,0,0,2,75.0,250.0,30.0,1,0.0,2,1125,7,97.0,1.37,22,52,82,357,128.0,22.0,150.0
112,4732995,1,0,0,1,0,0,3,66.67,200.0,50.0,1,0.0,2,1125,4,95.0,0.83,30,60,89,89,67.0,22.0,200.0
113,7134759,1,1,0,1,0,0,2,30.0,200.0,55.0,1,0.0,1,26,16,98.0,3.87,15,43,45,47,37.0,22.0,60.0
114,4532538,1,0,0,1,0,0,5,36.0,200.0,150.0,1,0.0,5,1125,1,100.0,1.0,30,60,90,365,136.0,22.0,180.0
115,7534398,1,1,0,1,0,0,3,23.0,200.0,50.0,2,15.0,1,1125,8,100.0,3.38,1,4,34,114,38.0,22.0,69.0
116,9387189,1,0,0,1,0,0,3,30.0,200.0,25.0,2,15.0,1,1125,1,100.0,1.0,27,57,87,112,70.0,22.0,90.0
117,6337492,0,0,0,1,0,0,2,40.0,200.0,50.0,2,0.0,1,1125,5,92.0,0.65,0,0,0,149,37.0,22.0,80.0
118,10231701,1,1,0,1,0,0,2,32.5,200.0,25.0,1,0.0,1,1125,0,94.53926206244087,2.078918834221247,30,57,87,176,87.0,22.0,65.0
119,1609922,1,0,0,1,1,0,5,30.0,100.0,90.0,2,10.0,4,1125,26,94.0,0.96,0,10,11,16,9.0,13.0,150.0
120,4236723,1,0,0,1,1,0,6,32.5,200.0,50.0,4,20.0,1,1125,113,94.0,7.53,30,57,87,362,134.0,56.5,195.0
121,7843837,1,0,0,1,0,0,4,37.25,200.0,50.0,1,0.0,1,7,0,94.53926206244087,2.078918834221247,22,28,28,183,65.0,22.0,149.0
122,3076065,1,0,0,1,0,0,5,44.8,600.0,120.0,1,0.0,3,1125,15,96.0,1.22,30,60,90,365,136.0,22.0,224.0
123,6423204,1,0,0,1,0,0,3,38.33,200.0,40.0,2,10.0,3,1125,44,91.0,5.87,10,25,54,54,35.0,22.0,115.0
124,8338849,1,1,0,1,0,0,2,27.5,200.0,50.0,1,0.0,1,1125,7,94.0,1.91,0,2,2,249,63.0,22.0,55.0
125,6401209,1,0,0,1,0,0,8,42.25,500.0,200.0,6,0.0,3,1125,13,97.0,2.05,16,46,72,154,72.0,22.0,338.0
126,20928,1,0,1,1,0,0,2,39.5,200.0,10.0,1,0.0,2,14,44,97.0,6.23,15,41,59,334,112.0,22.0,79.0
127,3344977,1,1,0,1,2,0,2,40.0,100.0,15.0,1,0.0,1,31,56,96.0,3.11,20,47,77,166,77.0,56.0,80.0
128,7604621,1,0,0,1,0,0,2,42.5,200.0,35.0,1,0.0,2,1125,11,95.0,3.55,30,60,89,89,67.0,22.0,85.0
129,3303978,0,0,1,1,2,0,2,40.0,200.0,25.0,2,20.0,2,100,39,98.0,2.22,24,45,61,150,70.0,39.0,80.0
130,7067082,0,1,0,1,0,0,3,16.33,200.0,7.0,1,0.0,1,1125,10,90.0,1.68,17,42,69,344,118.0,22.0,49.0
131,3121829,1,0,0,1,2,0,4,25.0,300.0,85.0,1,0.0,1,1125,6,90.0,0.34,0,0,0,240,60.0,6.0,100.0
132,2539881,1,0,0,1,2,2,2,39.5,200.0,50.0,1,0.0,1,1125,4,85.0,0.2,0,0,0,2,0.0,4.0,79.0
133,3678718,1,0,0,1,2,0,2,37.5,250.0,50.0,2,20.0,2,14,79,96.0,4.67,22,51,81,356,127.0,79.0,75.0
134,4694479,1,1,0,1,0,0,2,28.5,100.0,15.0,0,0.0,2,28,50,96.0,5.32,26,53,83,358,130.0,22.0,57.0
135,6646843,1,0,0,1,0,2,4,24.75,200.0,45.0,2,10.0,2,1125,28,89.0,5.79,9,38,68,340,113.0,22.0,99.0
136,1364440,1,1,1,1,1,0,1,55.0,200.0,50.0,1,0.0,2,10,20,100.0,0.68,30,60,90,365,136.0,10.0,55.0
137,1781873,1,0,0,1,2,0,2,48.0,200.0,50.0,2,20.0,2,14,57,92.0,2.56,30,60,90,179,89.0,57.0,96.0
138,4138423,1,0,0,1,2,0,4,24.75,100.0,30.0,2,10.0,1,1125,38,94.0,2.61,21,51,81,352,126.0,38.0,99.0
139,5562674,1,0,0,1,0,0,4,19.75,200.0,35.0,1,0.0,1,1125,71,95.0,7.2,23,43,73,162,75.0,22.0,79.0
140,1789341,1,0,0,1,2,0,2,57.5,200.0,85.0,2,100.0,3,365,17,99.0,0.82,0,4,34,174,53.0,17.0,115.0
141,4672934,1,0,0,1,2,0,10,35.0,500.0,125.0,6,25.0,1,1125,13,98.0,1.06,30,60,90,352,133.0,13.0,350.0
142,4550099,1,0,0,1,2,0,6,49.17,300.0,131.0,5,50.0,2,7,3,93.0,0.22,0,0,0,0,0.0,3.0,295.0
143,1198799,1,1,0,1,2,0,2,35.0,100.0,20.0,0,0.0,2,1125,19,98.0,1.84,2,32,62,337,108.0,19.0,70.0
144,5308429,1,1,0,1,2,0,2,26.5,200.0,50.0,1,0.0,14,1125,18,99.0,1.65,0,0,28,168,49.0,18.0,53.0
145,2769088,1,0,0,1,2,1,4,27.5,100.0,50.0,1,0.0,2,14,12,71.0,0.61,0,3,33,306,85.0,12.0,110.0
146,7603135,1,0,0,1,0,0,4,56.25,200.0,45.0,1,0.0,1,1125,4,95.0,0.85,0,10,10,143,40.0,22.0,225.0
147,9374365,1,1,0,1,0,0,2,17.5,100.0,7.0,2,10.0,1,1125,7,97.0,3.96,12,23,51,326,103.0,22.0,35.0
148,6106498,1,1,0,1,0,0,2,27.5,200.0,15.0,1,10.0,1,1125,23,97.0,2.82,0,0,0,247,61.0,22.0,55.0
149,9331449,1,1,0,1,0,0,2,22.5,100.0,8.0,2,10.0,1,1125,2,90.0,2.0,12,23,51,326,103.0,22.0,45.0
150,8799162,1,1,0,1,0,0,2,39.5,200.0,50.0,1,0.0,1,7,0,94.53926206244087,2.078918834221247,30,60,89,89,67.0,22.0,79.0
151,4317390,1,0,0,1,2,0,8,16.63,350.0,50.0,4,15.0,2,1125,39,95.0,2.87,30,60,90,365,136.0,39.0,133.0
152,3884851,1,1,0,1,1,0,2,32.5,200.0,5.0,1,0.0,2,1125,64,96.0,3.86,30,60,90,365,136.0,32.0,65.0
153,3155785,1,1,0,1,0,1,1,61.0,200.0,15.0,1,0.0,1,1125,4,80.0,0.82,0,0,0,125,31.0,22.0,61.0
154,9368517,1,0,0,1,0,0,4,50.0,200.0,60.0,1,0.0,4,7,0,94.53926206244087,2.078918834221247,0,0,0,30,7.0,22.0,200.0
155,5643240,1,0,0,1,0,0,2,35.0,250.0,50.0,1,0.0,5,1125,8,90.0,1.21,8,8,8,93,29.0,22.0,70.0
156,5042014,1,1,2,1,0,0,1,52.0,200.0,20.0,1,0.0,30,90,14,97.0,1.25,0,3,33,308,86.0,22.0,52.0
157,7724630,1,1,1,1,0,0,2,25.0,200.0,50.0,1,15.0,1,1125,1,100.0,0.3,0,0,0,126,31.0,22.0,50.0
158,9449437,1,0,0,1,0,0,8,34.38,500.0,50.0,8,10.0,1,1125,0,94.53926206244087,2.078918834221247,0,0,0,232,58.0,22.0,275.0
159,3053237,1,0,0,1,2,0,2,74.5,100.0,50.0,1,0.0,2,1125,85,99.0,4.28,28,58,88,363,134.0,85.0,149.0
160,8132347,1,0,0,1,0,0,8,24.88,150.0,85.0,5,10.0,1,1125,0,94.53926206244087,2.078918834221247,0,0,0,270,67.0,22.0,199.0
161,63733,1,0,0,1,0,0,2,44.5,200.0,50.0,2,0.0,2,14,125,97.0,2.18,28,45,75,164,78.0,31.25,89.0
162,2039149,1,0,0,1,2,0,10,22.5,300.0,100.0,8,40.0,1,90,121,91.0,5.15,17,42,58,124,60.0,121.0,225.0
163,227636,1,0,0,1,0,0,3,40.0,200.0,55.0,2,10.0,2,120,131,97.0,2.59,0,22,52,320,98.0,32.75,120.0
164,3689119,1,0,0,1,1,0,2,42.5,200.0,30.0,1,0.0,2,1125,49,98.0,2.85,30,60,90,365,136.0,24.5,85.0
165,1179538,1,1,0,1,0,0,4,20.0,200.0,15.0,4,10.0,1,1125,2,100.0,1.3,12,23,51,326,103.0,22.0,80.0
166,6823781,1,0,0,1,0,0,3,29.67,200.0,55.0,2,10.0,2,1125,28,95.0,4.29,24,49,49,324,111.0,22.0,89.0
167,2284536,1,0,0,1,2,0,4,24.75,100.0,30.0,2,10.0,2,1125,111,92.0,4.89,21,49,75,348,123.0,111.0,99.0
168,5143441,0,0,0,1,0,0,4,27.5,95.0,35.0,2,25.0,1,16,49,97.0,4.51,16,43,72,345,119.0,22.0,110.0
169,5749958,1,0,0,1,0,0,6,30.0,250.0,80.0,4,30.0,3,1125,28,96.0,3.4,9,14,14,60,24.0,22.0,180.0
170,9116815,0,0,0,1,0,0,4,37.5,200.0,50.0,1,0.0,2,1125,0,94.53926206244087,2.078918834221247,2,32,62,337,108.0,22.0,150.0
171,7731836,1,0,0,1,0,0,4,17.5,200.0,50.0,1,0.0,1,1125,3,100.0,3.0,21,39,56,56,43.0,22.0,70.0
172,10262971,1,1,0,1,0,0,2,35.0,200.0,50.0,1,0.0,1,1125,0,94.53926206244087,2.078918834221247,30,60,90,365,136.0,22.0,70.0
173,1407502,1,1,0,1,0,2,1,75.0,100.0,25.0,1,0.0,4,1125,9,89.0,0.47,30,60,90,365,136.0,22.0,75.0
174,8817038,0,0,0,1,0,0,4,21.25,100.0,50.0,4,10.0,2,45,12,97.0,5.22,3,25,48,114,47.0,22.0,85.0
175,4449303,1,1,0,1,0,0,2,40.0,250.0,25.0,1,25.0,1,1125,50,95.0,5.02,20,44,72,85,55.0,22.0,80.0
176,8255615,1,0,0,1,0,0,3,30.0,200.0,20.0,1,0.0,3,30,3,100.0,0.85,25,55,85,174,84.0,22.0,90.0
177,4053092,1,1,0,1,2,0,2,40.0,200.0,50.0,1,0.0,1,1125,24,98.0,1.58,10,37,67,342,114.0,24.0,80.0
178,6886633,1,0,2,1,0,0,2,37.5,200.0,50.0,1,10.0,1,7,81,95.0,12.15,27,57,86,361,132.0,22.0,75.0
179,8820414,1,0,0,1,0,0,3,26.67,200.0,50.0,1,0.0,1,1125,0,94.53926206244087,2.078918834221247,0,0,0,247,61.0,22.0,80.0
180,3052151,1,1,0,1,2,2,2,35.0,100.0,50.0,1,0.0,2,14,19,85.0,0.98,25,55,85,360,131.0,19.0,70.0
181,2339333,0,0,0,1,0,0,8,43.75,1.0,200.0,1,0.0,3,1125,6,100.0,0.95,0,0,0,131,32.0,22.0,350.0
182,1618842,1,0,0,1,2,0,4,23.75,200.0,40.0,2,20.0,2,30,115,99.0,4.79,3,21,49,313,96.0,115.0,95.0
