date,frequencia,price
2016-07-07,2393,150.709569577936
2016-07-08,2388,156.260469011725
2016-07-09,2392,156.448160535117
2016-07-10,2403,150.30253849355
2016-07-11,2400,149.86625
2016-07-12,2393,150.058503969912
2016-07-13,2395,150.656784968685
2016-07-14,2388,150.762144053601
2016-07-15,2392,156.365384615385
2016-07-16,2392,155.859113712375
2016-07-17,2401,150.524781341108
2016-07-18,2406,149.916458852868
2016-07-19,2413,149.515540820555
2016-07-20,2410,148.91867219917
2016-07-21,2410,149.840663900415
2016-07-22,2404,155.067803660566
2016-07-23,2396,155.532971619366
2016-07-24,2401,150.029987505206
2016-07-25,2394,150.204678362573
2016-07-26,2403,150.124843945069
2016-07-27,2409,149.655458696555
2016-07-28,2407,150.079767345243
2016-07-29,2406,155.26600166251
2016-07-30,2397,155.195244055069
2016-07-31,2408,149.590531561462
2016-08-01,2403,148.679151061174
2016-08-02,2404,149.040765391015
2016-08-03,2413,149.133858267717
2016-08-04,2415,149.774741200828
2016-08-05,2419,154.707317073171
2016-08-06,2425,154.766597938144
2016-08-07,2429,149.411280362289
2016-08-08,2443,149.972984036021
2016-08-09,2438,149.749384741591
2016-08-10,2444,149.813420621931
2016-08-11,2441,149.692748873413
2016-08-12,2453,154.795760293518
2016-08-13,2457,154.707366707367
2016-08-14,2453,148.540562576437
2016-08-15,2464,148.876217532468
2016-08-16,2460,148.377642276423
2016-08-17,2469,148.648845686513
2016-08-18,2466,149.375101378751
2016-08-19,2468,154.369529983793
2016-08-20,2471,154.722379603399
2016-08-21,2480,148.701209677419
2016-08-22,2488,148.676045016077
2016-08-23,2493,149.135178499799
2016-08-24,2494,149.410986367281
2016-08-25,2492,150.525682182986
2016-08-26,2501,155.683326669332
2016-08-27,2506,155.716679968077
2016-08-28,2507,149.295971280415
2016-08-29,2510,148.812749003984
2016-08-30,2515,148.717693836978
2016-08-31,2526,148.536817102138
2016-09-01,2519,147.37316395395
2016-09-02,2517,152.636869288836
2016-09-03,2522,152.494845360825
2016-09-04,2536,145.329652996845
2016-09-05,2544,142.087264150943
2016-09-06,2556,140.924100156495
2016-09-07,2559,140.711215318484
2016-09-08,2561,142.007809449434
