id,host_since,tempoHost,review_scores_rating,price$,diferencaUltimoReview,binTempo
1494986,2010-12-11,6,100.0,145.0,2,host_antigo
1783382,2013-10-11,3,98.0,150.0,2,host_medio
7513198,2014-02-21,2,100.0,275.0,0,host_medio
8308316,2012-10-07,4,97.0,165.0,0,host_antigo
9694921,2012-10-07,4,100.0,196.0,0,host_antigo
2472850,2012-07-05,4,82.0,195.0,1,host_antigo
5487522,2014-03-26,2,89.0,200.0,0,host_medio
4016650,2010-09-18,6,97.0,90.0,0,host_antigo
10229434,2014-09-21,2,NULL,100.0,NULL,host_medio
3479241,2014-05-23,2,92.0,125.0,1,host_medio
5848400,2011-03-08,5,90.0,250.0,0,host_antigo
6077760,2014-09-13,2,98.0,130.0,0,host_medio
4642956,2014-11-22,2,100.0,209.0,0,host_medio
1167507,2013-05-14,3,97.0,110.0,2,host_medio
6044106,2015-04-16,1,96.0,90.0,0,host_novo
1799255,2013-10-15,3,97.0,90.0,1,host_medio
8941768,2012-07-22,4,100.0,130.0,0,host_antigo
6569950,2015-05-27,1,100.0,175.0,0,host_novo
7733192,2014-12-08,2,100.0,749.0,1,host_medio
9215782,2014-11-10,2,100.0,115.0,0,host_medio
5175631,2014-06-20,2,98.0,165.0,0,host_medio
6315614,2015-02-04,1,NULL,109.0,NULL,host_novo
9134193,2015-10-27,1,100.0,80.0,0,host_novo
2481189,2014-03-01,2,96.0,285.0,1,host_medio
8535897,2014-11-16,2,100.0,80.0,0,host_medio
9476826,2012-05-29,4,NULL,75.0,NULL,host_antigo
3144311,2012-03-13,4,95.0,68.0,0,host_antigo
9370007,2014-11-15,2,NULL,85.0,NULL,host_medio
6781308,2015-05-21,1,97.0,125.0,0,host_novo
160222,2011-07-01,5,93.0,110.0,4,host_antigo
4250367,2011-08-04,5,100.0,600.0,1,host_antigo
8755479,2013-04-26,3,100.0,235.0,0,host_medio
8829156,2015-10-10,1,100.0,75.0,0,host_novo
5126077,2013-04-26,3,80.0,95.0,0,host_medio
6108796,2015-04-16,1,95.0,103.0,0,host_novo
2692126,2010-04-11,6,98.0,120.0,1,host_antigo
6882211,2013-03-15,3,NULL,95.0,NULL,host_medio
9573675,2015-11-21,1,NULL,143.0,NULL,host_novo
3544953,2014-05-21,2,97.0,99.0,1,host_medio
2020505,2013-12-02,3,99.0,142.0,1,host_medio
5580457,2014-07-02,2,93.0,150.0,1,host_medio
1495271,2011-10-17,5,95.0,295.0,2,host_antigo
8455865,2015-09-18,1,100.0,335.0,0,host_novo
9679300,2015-11-18,1,NULL,60.0,NULL,host_novo
6065566,2015-04-18,1,100.0,250.0,0,host_novo
4645208,2014-11-22,2,99.0,499.0,0,host_medio
6115807,2014-03-26,2,96.0,350.0,0,host_medio
7091397,2013-07-09,3,98.0,156.0,0,host_medio
6134153,2014-03-26,2,91.0,200.0,0,host_medio
7763878,2014-07-27,2,100.0,180.0,0,host_medio
8088447,2013-04-18,3,100.0,103.0,0,host_medio
3418349,2014-06-25,2,94.0,99.0,2,host_medio
9199982,2015-10-07,1,87.0,94.0,0,host_novo
6400000,2014-03-26,2,92.0,160.0,0,host_medio
6776229,2015-05-21,1,96.0,129.0,0,host_novo
7627794,2015-07-29,1,96.0,219.0,0,host_novo
8374102,2014-11-15,2,92.0,91.0,0,host_medio
6316934,2015-04-16,1,95.0,75.0,0,host_novo
1820794,2013-10-20,3,99.0,99.0,1,host_medio
314180,2011-09-29,5,100.0,300.0,3,host_antigo
8670079,2015-10-01,1,NULL,150.0,NULL,host_novo
4868135,2011-09-07,5,96.0,149.0,0,host_antigo
5336585,2015-02-12,1,NULL,75.0,0,host_novo
1427103,2013-07-23,3,95.0,95.0,2,host_medio
3518808,2014-07-06,2,97.0,100.0,1,host_medio
8995844,2011-08-13,5,100.0,250.0,0,host_antigo
356566,2011-09-29,5,100.0,105.0,2,host_antigo
6466388,2014-08-26,2,87.0,74.0,0,host_medio
4531944,2013-07-29,3,99.0,140.0,2,host_medio
6686072,2015-06-04,1,97.0,130.0,0,host_novo
4384343,2012-05-26,4,96.0,110.0,1,host_antigo
7900056,2013-06-12,3,84.0,199.0,0,host_medio
6378563,2014-10-22,2,96.0,209.0,0,host_medio
5630783,2015-03-11,1,97.0,100.0,0,host_novo
340706,2011-08-24,5,96.0,110.0,3,host_antigo
6202214,2013-07-17,3,96.0,104.0,0,host_medio
1030411,2011-01-28,5,100.0,200.0,0,host_antigo
7922373,2014-11-20,2,100.0,99.0,0,host_medio
6156470,2014-07-10,2,97.0,90.0,0,host_medio
2994309,2013-07-06,3,97.0,135.0,1,host_medio
1594328,2012-03-03,4,96.0,122.0,2,host_antigo
8072920,2014-01-12,2,93.0,80.0,0,host_medio
6915487,2013-06-12,3,80.0,158.0,0,host_medio
6202603,2014-04-29,2,92.0,90.0,0,host_medio
5286781,2013-11-05,3,100.0,100.0,0,host_medio
2818420,2014-04-17,2,95.0,89.0,0,host_medio
3739681,2011-07-18,5,93.0,125.0,1,host_antigo
7922063,2015-06-07,1,100.0,42.0,0,host_novo
611509,2012-07-23,4,97.0,65.0,3,host_antigo
1802663,2013-10-15,3,94.0,100.0,3,host_medio
9797545,2013-05-29,3,NULL,40.0,NULL,host_medio
9241055,2011-07-18,5,NULL,185.0,NULL,host_antigo
9294832,2014-11-16,2,95.0,40.0,0,host_medio
8643209,2015-09-30,1,100.0,70.0,0,host_novo
7258811,2011-10-03,5,NULL,40.0,NULL,host_antigo
10265391,2013-12-13,3,NULL,70.0,NULL,host_medio
132120,2011-02-05,5,94.0,110.0,4,host_antigo
6343866,2015-05-10,1,96.0,99.0,0,host_novo
3066740,2014-05-16,2,100.0,680.0,0,host_medio
4130112,2011-11-16,5,100.0,195.0,1,host_antigo
4026757,2013-11-16,3,97.0,55.0,1,host_medio
9545281,2015-11-19,1,NULL,90.0,NULL,host_novo
3294804,2012-08-15,4,92.0,119.0,1,host_antigo
4122325,2014-07-11,2,99.0,175.0,1,host_medio
8308353,2013-02-15,3,100.0,65.0,0,host_medio
7226013,2015-04-28,1,93.0,75.0,0,host_novo
5761290,2013-06-12,3,95.0,126.0,0,host_medio
182716,2010-07-26,6,99.0,70.0,4,host_antigo
3050140,2014-01-12,2,100.0,90.0,2,host_medio
3254956,2013-06-01,3,87.0,129.0,1,host_medio
1264287,2013-06-12,3,92.0,225.0,2,host_medio
3404557,2011-10-03,5,93.0,40.0,1,host_antigo
3939683,2011-10-03,5,100.0,50.0,0,host_antigo
3424242,2011-10-03,5,94.0,40.0,1,host_antigo
7985714,2011-10-03,5,80.0,40.0,0,host_antigo
4279876,2013-01-27,3,97.0,95.0,1,host_medio
3870253,2014-06-08,2,97.0,175.0,1,host_medio
2187563,2013-05-31,3,93.0,160.0,1,host_medio
3889299,2011-10-03,5,90.0,40.0,0,host_antigo
3889330,2011-10-03,5,NULL,40.0,NULL,host_antigo
1184846,2013-05-18,3,96.0,120.0,2,host_medio
