room_type,beds,bed_type,bathrooms,bedrooms,accommodates,review_scores_rating,taxa_de_limpeza,host_is_superhost
Entire home/apt,1.0,Real Bed,1.0,1.0,3,93.0,75.0,f
Entire home/apt,3.0,Real Bed,2.5,3.0,7,100.0,100.0,f
Entire home/apt,1.0,Real Bed,1.0,0.0,2,99.0,NULL,t
Entire home/apt,3.0,Real Bed,1.5,3.0,6,94.0,200.0,f
Private room,1.0,Real Bed,1.0,1.0,2,60.0,30.0,t
Entire home/apt,1.0,Real Bed,1.0,1.0,2,96.0,20.0,f
Private room,1.0,Real Bed,1.5,1.0,3,100.0,15.0,t
Entire home/apt,2.0,Real Bed,1.0,2.0,4,97.0,58.0,f
Private room,1.0,Real Bed,2.0,1.0,2,96.0,NULL,t
Private room,1.0,Real Bed,1.5,1.0,3,95.0,16.0,t
Private room,1.0,Real Bed,1.5,1.0,2,NULL,NULL,f
Private room,1.0,Pull-out Sofa,1.5,1.0,2,98.0,30.0,f
Private room,1.0,Real Bed,1.0,1.0,3,NULL,NULL,f
Entire home/apt,1.0,Real Bed,1.0,1.0,2,92.0,NULL,f
Entire home/apt,4.0,Real Bed,2.5,3.0,8,100.0,100.0,f
Entire home/apt,3.0,Real Bed,2.0,3.0,6,100.0,75.0,t
Entire home/apt,3.0,Real Bed,2.5,3.0,8,100.0,85.0,f
Private room,1.0,Real Bed,1.0,1.0,2,NULL,25.0,f
Entire home/apt,3.0,Real Bed,3.5,3.0,5,NULL,NULL,f
Private room,1.0,Real Bed,1.0,1.0,2,100.0,NULL,f
Entire home/apt,3.0,Real Bed,1.5,2.0,6,97.0,50.0,f
Private room,1.0,Real Bed,1.5,1.0,2,100.0,NULL,f
Private room,1.0,Real Bed,1.0,1.0,2,98.0,NULL,t
Private room,1.0,Real Bed,2.0,1.0,2,97.0,NULL,t
Entire home/apt,5.0,Real Bed,3.5,5.0,8,93.0,250.0,f
Private room,1.0,Real Bed,1.0,1.0,1,97.0,NULL,f
Entire home/apt,5.0,Real Bed,3.5,5.0,8,100.0,120.0,f
Entire home/apt,2.0,Real Bed,2.5,2.0,4,97.0,85.0,f
Private room,1.0,Pull-out Sofa,1.0,1.0,2,82.0,NULL,f
Private room,2.0,Real Bed,1.0,1.0,2,100.0,50.0,f
Entire home/apt,2.0,Real Bed,1.0,2.0,4,100.0,78.0,f
Private room,1.0,Real Bed,2.0,1.0,1,99.0,NULL,t
Entire home/apt,8.0,Real Bed,3.5,5.0,12,100.0,250.0,t
Entire home/apt,3.0,Real Bed,3.5,3.0,10,97.0,110.0,t
Private room,1.0,Real Bed,1.0,1.0,2,95.0,NULL,f
Private room,1.0,Real Bed,1.0,1.0,2,100.0,NULL,f
Entire home/apt,3.0,Real Bed,3.5,3.0,10,100.0,110.0,t
Entire home/apt,3.0,Real Bed,1.0,2.0,4,NULL,125.0,f
Entire home/apt,3.0,Real Bed,1.0,1.0,5,100.0,60.0,t
Entire home/apt,3.0,Real Bed,1.0,3.0,5,98.0,150.0,t
Entire home/apt,1.0,Real Bed,1.0,1.0,3,100.0,25.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,4,94.0,45.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,3,96.0,35.0,t
Private room,1.0,Real Bed,2.0,1.0,2,100.0,50.0,f
Private room,1.0,Real Bed,2.0,1.0,2,97.0,NULL,t
Entire home/apt,2.0,Real Bed,1.0,1.0,4,95.0,NULL,f
Entire home/apt,1.0,Real Bed,1.0,0.0,2,83.0,15.0,f
Entire home/apt,4.0,Real Bed,2.5,2.0,6,98.0,110.0,t
Entire home/apt,1.0,Real Bed,1.0,1.0,2,89.0,30.0,f
Entire home/apt,3.0,Real Bed,1.0,1.0,4,NULL,NULL,f
Entire home/apt,2.0,Real Bed,1.5,2.0,4,99.0,80.0,t
Entire home/apt,3.0,Real Bed,2.0,3.0,6,NULL,120.0,f
Private room,2.0,Real Bed,1.5,1.0,2,93.0,30.0,f
Private room,1.0,Real Bed,1.5,1.0,2,94.0,12.0,f
Entire home/apt,2.0,Real Bed,2.0,3.0,4,100.0,20.0,f
Entire home/apt,2.0,Real Bed,1.0,1.0,2,NULL,25.0,f
Private room,1.0,Real Bed,2.0,1.0,2,93.0,NULL,f
Private room,1.0,Real Bed,1.0,1.0,2,98.0,20.0,t
Private room,1.0,Real Bed,1.0,1.0,2,84.0,20.0,f
Entire home/apt,2.0,Real Bed,1.0,3.0,4,NULL,50.0,f
Private room,1.0,Futon,1.0,1.0,2,96.0,NULL,f
Private room,1.0,Real Bed,1.5,1.0,2,NULL,5.0,f
Entire home/apt,1.0,Real Bed,1.5,1.0,4,100.0,NULL,f
Entire home/apt,1.0,Real Bed,1.0,0.0,2,100.0,25.0,f
Private room,1.0,Real Bed,1.5,1.0,2,100.0,NULL,f
Entire home/apt,3.0,Real Bed,2.5,2.0,6,96.0,250.0,f
Private room,1.0,Futon,1.0,1.0,2,97.0,5.0,f
Entire home/apt,2.0,Real Bed,1.5,2.0,4,100.0,NULL,f
Entire home/apt,2.0,Real Bed,1.0,1.0,4,NULL,50.0,f
Entire home/apt,1.0,Real Bed,1.0,0.0,2,NULL,25.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,2,96.0,15.0,t
Entire home/apt,3.0,Real Bed,2.0,2.0,4,100.0,NULL,f
Entire home/apt,3.0,Real Bed,2.5,3.0,6,100.0,100.0,f
Entire home/apt,2.0,Real Bed,1.0,1.0,4,NULL,20.0,f
Entire home/apt,2.0,Real Bed,1.0,0.0,4,97.0,25.0,t
Entire home/apt,3.0,Real Bed,3.5,3.0,7,88.0,170.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,3,100.0,25.0,f
Entire home/apt,1.0,Pull-out Sofa,1.0,0.0,2,89.0,20.0,f
Private room,1.0,Real Bed,1.0,1.0,2,NULL,NULL,t
Entire home/apt,2.0,Real Bed,1.0,0.0,4,99.0,50.0,t
Entire home/apt,2.0,Real Bed,2.0,3.0,4,100.0,95.0,f
Private room,1.0,Real Bed,1.0,1.0,2,98.0,15.0,t
Entire home/apt,2.0,Real Bed,1.0,0.0,3,90.0,80.0,f
Private room,1.0,Real Bed,1.0,1.0,2,97.0,NULL,t
Entire home/apt,3.0,Real Bed,1.0,2.0,4,93.0,50.0,f
Private room,1.0,Real Bed,1.0,1.0,4,84.0,NULL,f
Private room,1.0,Real Bed,1.5,1.0,2,NULL,75.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,2,100.0,30.0,t
Entire home/apt,2.0,Real Bed,1.0,0.0,3,NULL,60.0,f
Entire home/apt,2.0,Real Bed,2.0,2.0,4,100.0,25.0,f
Entire home/apt,3.0,Real Bed,3.0,3.0,8,94.0,120.0,f
Private room,2.0,Real Bed,1.0,1.0,4,98.0,20.0,t
Private room,1.0,Real Bed,1.0,1.0,2,100.0,NULL,f
Private room,1.0,Real Bed,0.5,1.0,2,86.0,20.0,f
Private room,1.0,Real Bed,1.5,1.0,2,95.0,30.0,f
Entire home/apt,2.0,Real Bed,2.0,2.0,4,96.0,75.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,2,100.0,30.0,f
Entire home/apt,3.0,Real Bed,1.0,1.0,6,89.0,75.0,f
Entire home/apt,1.0,Real Bed,1.0,0.0,2,NULL,50.0,f
Entire home/apt,1.0,Real Bed,1.0,0.0,2,95.0,NULL,f
Entire home/apt,2.0,Real Bed,1.0,1.0,2,91.0,99.0,f
Private room,1.0,Real Bed,2.0,1.0,2,95.0,30.0,t
Entire home/apt,2.0,Real Bed,1.0,1.0,4,86.0,99.0,f
Entire home/apt,3.0,Pull-out Sofa,2.0,2.0,6,88.0,99.0,f
Shared room,8.0,Real Bed,0.0,1.0,8,93.0,6.0,f
Entire home/apt,2.0,Real Bed,2.5,2.0,4,99.0,180.0,t
Entire home/apt,3.0,Real Bed,1.0,1.0,6,98.0,25.0,t
Entire home/apt,1.0,Real Bed,1.0,0.0,2,87.0,NULL,f
Shared room,8.0,Real Bed,8.0,1.0,8,87.0,NULL,f
Entire home/apt,2.0,Real Bed,1.0,1.0,4,NULL,75.0,f
Entire home/apt,1.0,Real Bed,1.0,0.0,3,91.0,60.0,f
Entire home/apt,1.0,Real Bed,1.0,0.0,2,60.0,NULL,f
Entire home/apt,1.0,Real Bed,1.0,1.0,3,94.0,60.0,t
Entire home/apt,1.0,Real Bed,1.0,1.0,3,99.0,NULL,f
Entire home/apt,2.0,Real Bed,1.0,0.0,4,98.0,50.0,f
Entire home/apt,2.0,Real Bed,1.0,1.0,4,93.0,75.0,f
Entire home/apt,2.0,Real Bed,2.0,2.0,4,98.0,64.0,t
Entire home/apt,1.0,Real Bed,1.0,1.0,2,100.0,25.0,f
Entire home/apt,2.0,Real Bed,1.0,1.0,4,92.0,75.0,f
Entire home/apt,2.0,Real Bed,1.0,1.0,3,NULL,65.0,f
Entire home/apt,2.0,Real Bed,1.0,0.0,4,95.0,45.0,f
Entire home/apt,2.0,Real Bed,2.0,2.0,5,100.0,113.0,f
Entire home/apt,1.0,Real Bed,1.0,0.0,2,NULL,50.0,f
Entire home/apt,2.0,Real Bed,1.0,0.0,3,97.0,NULL,f
Entire home/apt,1.0,Real Bed,1.0,1.0,3,95.0,50.0,f
Entire home/apt,2.0,Real Bed,2.0,1.0,4,NULL,75.0,f
Entire home/apt,2.0,Real Bed,1.0,1.0,3,98.0,75.0,t
Entire home/apt,2.0,Real Bed,1.0,2.0,4,100.0,100.0,t
Entire home/apt,1.0,Real Bed,1.0,1.0,4,93.0,70.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,2,100.0,50.0,t
Entire home/apt,1.0,Real Bed,1.0,1.0,2,100.0,50.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,2,95.0,40.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,4,98.0,NULL,t
Entire home/apt,1.0,Real Bed,1.0,1.0,2,NULL,50.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,2,98.0,25.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,3,96.0,75.0,f
Entire home/apt,2.0,Real Bed,1.0,1.0,3,100.0,20.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,4,95.0,70.0,t
Entire home/apt,1.0,Real Bed,1.0,1.0,3,96.0,35.0,t
Entire home/apt,2.0,Real Bed,1.0,2.0,4,98.0,100.0,t
Entire home/apt,1.0,Futon,1.0,1.0,3,90.0,30.0,f
Entire home/apt,3.0,Real Bed,1.5,2.0,4,100.0,35.0,t
Shared room,1.0,Futon,1.0,1.0,1,NULL,NULL,f
Entire home/apt,2.0,Real Bed,1.0,1.0,4,86.0,35.0,f
Entire home/apt,1.0,Real Bed,1.0,0.0,2,95.0,30.0,t
Private room,1.0,Real Bed,1.0,1.0,2,97.0,NULL,f
Private room,1.0,Real Bed,1.0,1.0,2,96.0,5.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,4,80.0,NULL,f
Entire home/apt,1.0,Real Bed,1.0,1.0,2,98.0,50.0,t
Private room,1.0,Real Bed,1.0,1.0,2,NULL,NULL,f
Entire home/apt,4.0,Real Bed,1.0,2.0,8,98.0,NULL,t
Private room,1.0,Real Bed,1.0,1.0,2,NULL,5.0,f
Private room,1.0,Airbed,1.0,1.0,3,NULL,NULL,f
Entire home/apt,1.0,Real Bed,1.0,0.0,2,88.0,50.0,f
Private room,1.0,Real Bed,1.0,1.0,2,90.0,NULL,f
Entire home/apt,1.0,Real Bed,1.0,0.0,2,NULL,50.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,3,87.0,10.0,f
Private room,1.0,Real Bed,1.0,1.0,2,90.0,25.0,f
Private room,1.0,Real Bed,1.0,1.0,2,89.0,5.0,f
Entire home/apt,3.0,Real Bed,2.5,3.0,8,60.0,145.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,2,NULL,35.0,f
Entire home/apt,2.0,Real Bed,1.0,0.0,4,73.0,NULL,f
Entire home/apt,2.0,Real Bed,1.0,2.0,3,96.0,50.0,f
Private room,1.0,Real Bed,1.0,1.0,2,92.0,30.0,f
Entire home/apt,2.0,Couch,1.0,2.0,4,NULL,150.0,f
Private room,1.0,Real Bed,1.0,1.0,2,100.0,NULL,f
Private room,1.0,Real Bed,1.0,1.0,2,NULL,35.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,2,100.0,79.0,f
Private room,1.0,Airbed,1.0,1.0,2,75.0,NULL,f
Entire home/apt,1.0,Real Bed,1.0,1.0,2,96.0,40.0,f
Entire home/apt,2.0,Real Bed,1.0,2.0,6,77.0,40.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,3,98.0,20.0,f
Private room,1.0,Real Bed,1.0,1.0,2,96.0,10.0,f
Entire home/apt,3.0,Real Bed,2.0,2.0,6,100.0,55.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,2,NULL,40.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,3,100.0,NULL,f
Entire home/apt,1.0,Real Bed,1.0,1.0,2,NULL,NULL,f
Entire home/apt,2.0,Real Bed,1.0,1.0,4,NULL,15.0,f
Entire home/apt,1.0,Real Bed,1.0,0.0,2,82.0,10.0,f
Private room,1.0,Real Bed,2.0,1.0,4,100.0,25.0,f
Entire home/apt,1.0,Real Bed,1.0,0.0,2,100.0,NULL,f
Shared room,1.0,Real Bed,2.0,1.0,1,NULL,NULL,t
Entire home/apt,1.0,Real Bed,1.5,1.0,2,NULL,100.0,f
Private room,1.0,Real Bed,1.0,1.0,2,85.0,40.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,4,96.0,60.0,t
Entire home/apt,1.0,Real Bed,1.0,0.0,2,NULL,25.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,2,96.0,40.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,3,NULL,60.0,t
Private room,1.0,Real Bed,1.0,1.0,2,73.0,50.0,f
Shared room,4.0,Real Bed,1.0,1.0,4,NULL,NULL,f
Entire home/apt,1.0,Real Bed,1.0,1.0,3,98.0,60.0,t
Entire home/apt,1.0,Real Bed,1.0,1.0,2,98.0,50.0,f
Private room,1.0,Real Bed,1.0,1.0,2,90.0,25.0,f
Entire home/apt,1.0,Real Bed,1.0,0.0,2,80.0,50.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,3,100.0,60.0,t
Private room,1.0,Real Bed,1.0,1.0,2,100.0,55.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,3,93.0,60.0,f
Private room,1.0,Real Bed,1.0,1.0,2,40.0,25.0,f
Entire home/apt,3.0,Real Bed,2.5,3.0,6,90.0,75.0,f
Entire home/apt,3.0,Real Bed,2.0,3.0,7,100.0,150.0,f
Entire home/apt,5.0,Real Bed,3.5,3.0,10,94.0,130.0,t
Private room,1.0,Real Bed,1.0,1.0,1,89.0,10.0,f
Private room,1.0,Real Bed,1.0,1.0,2,98.0,NULL,t
Private room,1.0,Real Bed,1.0,1.0,1,NULL,20.0,f
Private room,2.0,Real Bed,1.0,1.0,2,86.0,NULL,f
Entire home/apt,2.0,Real Bed,1.0,1.0,4,NULL,120.0,t
Entire home/apt,7.0,Real Bed,3.5,5.0,12,100.0,250.0,t
Entire home/apt,4.0,Real Bed,1.0,2.0,6,94.0,100.0,f
Entire home/apt,3.0,Real Bed,2.5,3.0,5,98.0,100.0,f
Entire home/apt,2.0,Real Bed,1.0,1.0,4,NULL,NULL,f
Private room,1.0,Real Bed,1.0,1.0,2,94.0,8.0,f
Entire home/apt,3.0,Real Bed,2.5,3.0,8,NULL,50.0,f
Private room,1.0,Real Bed,1.0,1.0,2,91.0,20.0,f
Private room,1.0,Real Bed,1.0,1.0,2,97.0,NULL,f
Entire home/apt,1.0,Real Bed,1.0,1.0,2,100.0,15.0,f
Entire home/apt,4.0,Real Bed,2.0,3.0,6,100.0,75.0,f
Entire home/apt,2.0,Real Bed,1.0,0.0,4,NULL,25.0,f
Shared room,1.0,Couch,1.0,1.0,1,97.0,10.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,3,100.0,NULL,t
Private room,1.0,Real Bed,1.0,1.0,2,NULL,45.0,f
Entire home/apt,2.0,Real Bed,1.0,1.0,4,NULL,25.0,f
Entire home/apt,2.0,Real Bed,2.0,3.0,5,80.0,100.0,f
Private room,1.0,Real Bed,1.0,1.0,2,100.0,50.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,4,60.0,NULL,f
Entire home/apt,5.0,Real Bed,1.0,5.0,8,NULL,NULL,f
Entire home/apt,3.0,Real Bed,1.0,2.0,5,73.0,100.0,f
Private room,1.0,Real Bed,1.0,1.0,2,93.0,8.0,f
Private room,1.0,Real Bed,1.0,1.0,4,NULL,15.0,f
Entire home/apt,3.0,Real Bed,2.0,3.0,5,100.0,100.0,f
Private room,1.0,Airbed,1.0,1.0,2,93.0,20.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,2,85.0,30.0,f
Entire home/apt,2.0,Real Bed,2.0,2.0,5,100.0,50.0,f
Entire home/apt,3.0,Real Bed,1.0,2.0,6,NULL,75.0,f
Entire home/apt,4.0,Real Bed,1.5,2.0,6,100.0,75.0,f
Entire home/apt,4.0,Real Bed,1.5,0.0,9,84.0,100.0,t
Entire home/apt,7.0,Real Bed,4.0,4.0,15,97.0,150.0,t
Private room,1.0,Futon,1.0,1.0,2,79.0,15.0,f
Private room,1.0,Futon,1.0,1.0,2,87.0,15.0,f
Entire home/apt,3.0,Real Bed,1.0,2.0,5,93.0,95.0,f
Entire home/apt,7.0,Real Bed,3.5,5.0,12,100.0,250.0,t
Private room,1.0,Real Bed,1.0,1.0,2,NULL,25.0,f
Entire home/apt,3.0,Real Bed,2.0,3.0,10,95.0,195.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,3,99.0,60.0,t
Entire home/apt,1.0,Real Bed,1.0,1.0,4,94.0,85.0,f
Entire home/apt,3.0,Real Bed,2.0,2.0,6,94.0,99.0,f
Entire home/apt,2.0,Real Bed,1.0,1.0,4,98.0,96.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,2,95.0,40.0,f
Shared room,1.0,Real Bed,1.0,1.0,1,80.0,10.0,f
Shared room,1.0,Futon,1.0,1.0,2,87.0,NULL,f
Entire home/apt,2.0,Real Bed,1.0,1.0,4,90.0,60.0,f
Private room,1.0,Real Bed,1.0,1.0,1,100.0,NULL,f
Entire home/apt,1.0,Real Bed,1.0,0.0,4,NULL,149.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,2,89.0,25.0,f
Entire home/apt,2.0,Real Bed,1.0,1.0,5,83.0,10.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,3,55.0,100.0,f
Entire home/apt,1.0,Real Bed,1.0,0.0,3,100.0,60.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,3,97.0,60.0,t
Entire home/apt,1.0,Real Bed,1.0,1.0,2,20.0,61.0,f
Entire home/apt,1.0,Real Bed,1.0,0.0,4,100.0,164.0,f
Entire home/apt,2.0,Real Bed,1.0,1.0,4,NULL,50.0,f
Entire home/apt,3.0,Real Bed,1.0,0.0,6,93.0,50.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,3,90.0,60.0,f
Entire home/apt,2.0,Real Bed,1.0,0.0,3,93.0,NULL,f
Entire home/apt,1.0,Real Bed,1.0,0.0,2,98.0,61.0,t
Entire home/apt,3.0,Real Bed,1.0,0.0,4,95.0,65.0,f
Entire home/apt,3.0,Real Bed,2.5,2.0,6,100.0,110.0,t
Entire home/apt,2.0,Real Bed,1.0,2.0,4,72.0,NULL,f
Entire home/apt,1.0,Real Bed,1.0,0.0,2,87.0,10.0,f
Entire home/apt,2.0,Real Bed,1.0,1.0,4,94.0,50.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,3,95.0,35.0,f
Entire home/apt,1.0,Real Bed,1.0,0.0,2,98.0,40.0,t
Entire home/apt,1.0,Real Bed,1.0,0.0,2,100.0,NULL,f
Entire home/apt,1.0,Real Bed,1.0,1.0,3,98.0,60.0,t
Entire home/apt,1.0,Real Bed,1.0,1.0,3,100.0,60.0,t
Entire home/apt,2.0,Real Bed,1.0,1.0,4,93.0,95.0,f
Entire home/apt,1.0,Real Bed,1.0,0.0,2,94.0,NULL,f
Entire home/apt,3.0,Real Bed,1.0,1.0,5,94.0,45.0,f
Entire home/apt,2.0,Real Bed,NULL,1.0,4,87.0,96.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,2,NULL,NULL,f
Entire home/apt,2.0,Real Bed,1.0,1.0,4,92.0,96.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,2,98.0,70.0,t
Entire home/apt,1.0,Real Bed,1.0,1.0,2,96.0,75.0,f
Entire home/apt,1.0,Real Bed,1.0,0.0,5,92.0,60.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,2,97.0,100.0,f
Entire home/apt,2.0,Real Bed,1.0,0.0,4,90.0,149.0,f
Entire home/apt,1.0,Real Bed,1.0,0.0,2,NULL,NULL,f
Entire home/apt,1.0,Real Bed,1.0,0.0,2,92.0,50.0,f
Entire home/apt,2.0,Real Bed,1.0,0.0,3,96.0,NULL,t
Entire home/apt,2.0,Real Bed,1.0,1.0,3,97.0,50.0,f
Entire home/apt,2.0,Real Bed,2.0,2.0,4,100.0,100.0,t
Entire home/apt,2.0,Real Bed,1.0,0.0,3,NULL,NULL,f
Entire home/apt,1.0,Real Bed,1.0,0.0,2,97.0,50.0,t
Entire home/apt,2.0,Real Bed,1.0,0.0,3,97.0,NULL,f
Entire home/apt,1.0,Real Bed,1.0,1.0,2,NULL,50.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,1,95.0,50.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,2,100.0,159.0,f
Private room,1.0,Real Bed,1.0,1.0,1,97.0,60.0,t
Entire home/apt,1.0,Real Bed,1.0,1.0,4,94.0,32.0,f
Entire home/apt,1.0,Real Bed,1.0,0.0,2,99.0,50.0,f
Private room,1.0,Real Bed,1.0,1.0,2,98.0,NULL,t
Entire home/apt,3.0,Real Bed,2.0,2.0,6,95.0,99.0,f
Entire home/apt,3.0,Real Bed,1.0,1.0,5,97.0,95.0,t
Entire home/apt,2.0,Real Bed,1.0,2.0,6,95.0,184.0,f
Entire home/apt,3.0,Real Bed,2.0,2.0,6,95.0,99.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,3,95.0,NULL,t
Entire home/apt,3.0,Real Bed,2.0,2.0,6,91.0,99.0,f
Entire home/apt,2.0,Real Bed,2.5,2.0,6,97.0,150.0,f
Entire home/apt,2.0,Real Bed,2.0,2.0,7,97.0,105.0,f
Entire home/apt,2.0,Real Bed,1.0,1.0,3,100.0,NULL,f
Entire home/apt,3.0,Real Bed,2.0,2.0,6,96.0,99.0,f
Entire home/apt,1.0,Real Bed,1.0,0.0,3,92.0,50.0,f
Entire home/apt,4.0,Real Bed,2.0,3.0,7,100.0,109.0,f
Entire home/apt,4.0,Real Bed,3.0,3.0,8,100.0,264.0,f
Entire home/apt,2.0,Real Bed,1.0,2.0,4,95.0,80.0,t
Entire home/apt,4.0,Real Bed,2.0,3.0,10,100.0,159.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,3,NULL,50.0,f
Entire home/apt,4.0,Real Bed,2.0,2.0,6,95.0,209.0,f
Entire home/apt,2.0,Real Bed,1.0,1.0,4,100.0,96.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,4,100.0,80.0,f
Entire home/apt,3.0,Real Bed,2.0,2.0,6,87.0,99.0,f
Entire home/apt,2.0,Real Bed,1.0,1.0,4,96.0,75.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,3,100.0,NULL,f
Entire home/apt,2.0,Real Bed,1.0,0.0,2,97.0,10.0,f
Entire home/apt,3.0,Real Bed,2.0,2.0,6,100.0,110.0,f
Entire home/apt,2.0,Real Bed,1.0,1.0,4,NULL,100.0,f
Entire home/apt,3.0,Real Bed,2.0,2.0,6,96.0,113.0,f
Entire home/apt,3.0,Real Bed,1.0,2.0,6,100.0,107.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,3,NULL,50.0,f
Entire home/apt,3.0,Real Bed,2.0,2.0,6,91.0,99.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,3,NULL,50.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,3,NULL,75.0,f
Entire home/apt,2.0,Real Bed,2.0,2.0,5,NULL,40.0,f
Entire home/apt,1.0,Real Bed,1.0,0.0,2,NULL,25.0,NULL
Entire home/apt,4.0,Real Bed,2.5,2.0,8,NULL,150.0,t
Entire home/apt,4.0,Real Bed,2.0,2.0,7,95.0,105.0,f
Entire home/apt,2.0,Real Bed,1.0,1.0,4,97.0,99.0,f
Entire home/apt,3.0,Real Bed,2.0,2.0,6,87.0,99.0,f
Entire home/apt,1.0,Futon,1.0,1.0,2,94.0,85.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,4,80.0,72.0,f
Entire home/apt,3.0,Real Bed,2.0,3.0,7,NULL,109.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,2,85.0,20.0,f
Entire home/apt,2.0,Real Bed,1.0,1.0,4,91.0,96.0,f
Entire home/apt,3.0,Real Bed,1.0,2.0,6,100.0,105.0,f
Entire home/apt,3.0,Real Bed,1.0,2.0,4,95.0,107.0,f
Entire home/apt,3.0,Real Bed,1.0,2.0,6,93.0,107.0,f
Entire home/apt,3.0,Real Bed,1.0,2.0,6,93.0,95.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,4,90.0,35.0,f
Entire home/apt,4.0,Real Bed,2.0,2.0,8,100.0,150.0,t
Entire home/apt,2.0,Real Bed,1.5,1.0,4,90.0,159.0,f
Entire home/apt,2.0,Real Bed,NULL,1.0,4,87.0,96.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,2,NULL,50.0,f
Entire home/apt,1.0,Pull-out Sofa,1.0,0.0,2,98.0,80.0,t
Entire home/apt,1.0,Real Bed,1.0,1.0,4,100.0,100.0,f
Entire home/apt,7.0,Real Bed,2.5,3.0,9,100.0,274.0,f
Entire home/apt,3.0,Real Bed,2.0,2.0,6,94.0,99.0,f
Entire home/apt,2.0,Real Bed,1.0,1.0,4,93.0,96.0,f
Entire home/apt,3.0,Real Bed,1.0,0.0,4,100.0,65.0,f
Entire home/apt,3.0,Real Bed,1.0,0.0,6,99.0,35.0,t
Entire home/apt,1.0,Real Bed,1.0,1.0,2,100.0,60.0,t
Entire home/apt,2.0,Real Bed,1.0,0.0,4,98.0,95.0,t
Entire home/apt,2.0,Real Bed,1.0,1.0,4,93.0,45.0,f
Private room,1.0,Real Bed,1.0,1.0,2,90.0,40.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,4,87.0,143.0,f
Entire home/apt,2.0,Real Bed,1.0,1.0,4,80.0,96.0,f
Private room,1.0,Real Bed,1.0,1.0,2,97.0,NULL,t
Entire home/apt,1.0,Real Bed,1.0,1.0,2,88.0,50.0,f
Entire home/apt,2.0,Real Bed,1.0,1.0,4,95.0,96.0,f
Entire home/apt,2.0,Real Bed,1.0,1.0,4,100.0,149.0,f
Entire home/apt,3.0,Real Bed,2.0,2.0,6,96.0,99.0,f
Entire home/apt,2.0,Real Bed,2.0,2.0,5,80.0,150.0,f
Entire home/apt,3.0,Real Bed,1.0,2.0,6,88.0,184.0,f
Entire home/apt,1.0,Real Bed,1.0,0.0,2,NULL,50.0,f
Entire home/apt,1.0,Real Bed,1.0,0.0,2,92.0,NULL,f
Entire home/apt,3.0,Real Bed,2.0,2.0,6,92.0,99.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,4,96.0,96.0,f
