room_type,beds,bed_type,bathrooms,bedrooms,accommodates,review_scores_rating,taxa_de_limpeza,host_is_superhost
Entire home/apt,3.0,Real Bed,1.5,3.0,6,92.0,100.0,f
Entire home/apt,2.0,Real Bed,3.0,3.0,4,88.0,80.0,f
Entire home/apt,3.0,Real Bed,3.5,4.0,7,75.0,250.0,f
Entire home/apt,2.0,Real Bed,1.0,2.0,4,97.0,99.0,f
Entire home/apt,2.0,Real Bed,1.0,1.0,4,95.0,50.0,f
Entire home/apt,3.0,Real Bed,3.0,3.0,8,96.0,150.0,f
Private room,1.0,Futon,1.0,1.0,1,97.0,NULL,f
Entire home/apt,2.0,Real Bed,1.0,1.0,4,100.0,50.0,f
Entire home/apt,1.0,Real Bed,1.0,0.0,2,98.0,20.0,t
Entire home/apt,2.0,Real Bed,1.0,1.0,4,90.0,40.0,f
Entire home/apt,2.0,Real Bed,1.0,1.0,3,91.0,100.0,f
Entire home/apt,2.0,Real Bed,1.5,2.0,4,98.0,100.0,f
Entire home/apt,2.0,Real Bed,1.5,1.0,3,98.0,50.0,t
Private room,1.0,Real Bed,1.0,1.0,5,100.0,NULL,f
Entire home/apt,1.0,Futon,1.0,0.0,2,92.0,NULL,f
Entire home/apt,4.0,Real Bed,3.0,4.0,10,NULL,200.0,f
Entire home/apt,1.0,Real Bed,1.0,0.0,2,100.0,50.0,f
Entire home/apt,2.0,Real Bed,1.0,1.0,4,100.0,55.0,f
Entire home/apt,3.0,Real Bed,1.0,1.0,4,95.0,75.0,f
Entire home/apt,1.0,Real Bed,1.0,0.0,2,100.0,50.0,f
Entire home/apt,1.0,Real Bed,1.0,0.0,2,NULL,40.0,f
Entire home/apt,1.0,Futon,1.0,1.0,3,100.0,20.0,f
Private room,1.0,Real Bed,1.0,1.0,3,NULL,NULL,f
Entire home/apt,1.0,Real Bed,1.5,1.0,2,NULL,50.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,2,94.0,30.0,f
Private room,1.0,Futon,1.0,1.0,2,100.0,NULL,f
Entire home/apt,1.0,Real Bed,1.0,0.0,2,98.0,60.0,t
Entire home/apt,3.0,Real Bed,2.5,3.0,4,NULL,120.0,f
Private room,1.0,Real Bed,2.0,1.0,2,100.0,NULL,f
Private room,1.0,Futon,1.0,1.0,2,100.0,20.0,f
Entire home/apt,1.0,Real Bed,1.0,0.0,2,97.0,25.0,t
Private room,1.0,Real Bed,1.0,1.0,2,92.0,NULL,f
Private room,2.0,Real Bed,1.0,1.0,2,97.0,25.0,t
Entire home/apt,2.0,Real Bed,1.0,2.0,4,NULL,78.0,f
Entire home/apt,4.0,Real Bed,2.5,3.0,6,91.0,100.0,f
Entire home/apt,1.0,Real Bed,1.0,1.0,2,98.0,50.0,f
Entire home/apt,7.0,Real Bed,3.5,5.0,12,96.0,250.0,t
Entire home/apt,1.0,Real Bed,1.0,1.0,2,96.0,50.0,f
Private room,1.0,Real Bed,1.0,1.0,2,NULL,NULL,f
Private room,1.0,Real Bed,1.0,1.0,2,NULL,NULL,f
Private room,1.0,Pull-out Sofa,1.0,1.0,2,93.0,12.0,f
Private room,4.0,Real Bed,1.0,1.0,4,77.0,15.0,f
Entire home/apt,2.0,Real Bed,1.0,2.0,4,97.0,45.0,f
Private room,1.0,Futon,1.0,1.0,2,94.0,NULL,f
